urn,schoolname,phase,secondary,lsoa11cd,lsoa11nm,lad11cd,lad_name,all,bicycle,foot,car,govtarget_slc,govtarget_sic,govtarget_slw,govtarget_siw,govtarget_sld,govtarget_sid,dutch_slc,dutch_sic,dutch_slw,dutch_siw,dutch_sld,dutch_sid,baseline_at_mmet,govtarget_slmmet,govtarget_simmet,dutch_slmmet,dutch_simmet,govtarget_slco2,govtarget_sico2,dutch_slco2,dutch_sico2,perc_rf_dist_u5km,avslope_perc_u5km
118156,Cowes Primary,Primary,0,E01017301,Isle of Wight 002A,E06000046,Isle of Wight,327,0,152,171,2.2,2.2,150.91,-1.09,169.9,-1.1,70.02,70.02,117.53,-34.47,135.69,-35.31,1.57,0.00563,0.00563,0.173,0.173,-31,-31,-1119,-1119,99.38,3.88
118160,Gurnard Primary,Primary,0,E01017316,Isle of Wight 002D,E06000046,Isle of Wight,198,NA,78,100,NA,1.41,77.49,-0.51,99.15,-0.846,NA,44.04,61.24,-16.76,74.26,-25.74,1.55,0.0275,0.0094,0.3,0.282,-79,-27,-1082,-1030,93.43,3.16
118162,Newchurch Primary,Primary,0,E01017323,Isle of Wight 015C,E06000046,Isle of Wight,177,0,16,146,0.46,0.46,15.96,-0.04,145.65,-0.347,15.47,15.47,14.36,-1.64,134.67,-11.33,0.91,0.00687,0.00687,0.225,0.225,-17,-17,-656,-656,42.94,4.06
118166,Northwood Primary School,Primary,0,E01017329,Isle of Wight 002E,E06000046,Isle of Wight,207,NA,64,117,NA,1.54,63.58,-0.42,116.08,-0.92,NA,48.91,49.71,-14.29,88.57,-28.43,1.55,0.0352,0.0163,0.517,0.498,-119,-48,-1723,-1652,95.65,2.65
118173,Wroxall Primary School,Primary,0,E01017370,Isle of Wight 018E,E06000046,Isle of Wight,98,0,75,23,0.06,0.06,74.97,-0.03,22.96,-0.0357,2.76,2.76,73.72,-1.28,21.52,-1.48,0.72,0.00126,0.00126,0.0524,0.0524,-1,-1,-100,-100,97.96,10.1
118176,Binstead Primary,Primary,0,E01017287,Isle of Wight 005B,E06000046,Isle of Wight,218,NA,122,90,NA,0.74,121.61,-0.39,89.67,-0.327,NA,26.39,108.05,-13.95,78.37,-11.63,2.16,0.0111,0.00475,0.174,0.168,-34,-12,-701,-679,96.76,5.49
118178,Summerfields Primary,Primary,0,E01017310,Isle of Wight 008A,E06000046,Isle of Wight,141,0,87,52,0.63,0.63,86.55,-0.45,51.82,-0.177,22.37,22.37,71.18,-15.82,45.73,-6.27,1.57,0.00222,0.00222,0.0773,0.0773,-2,-2,-209,-209,85.82,3.82
118182,BRADING C.E. PRIMARY,Primary,0,E01017289,Isle of Wight 014A,E06000046,Isle of Wight,86,0,57,28,0.18,0.18,56.87,-0.13,27.95,-0.0478,7.33,7.33,51.69,-5.31,26.13,-1.87,1.01,0.00133,0.00133,0.0506,0.0506,-1,-1,-73,-73,86.05,5.54
118188,Shalfleet,Primary,0,E01017353,Isle of Wight 013D,E06000046,Isle of Wight,121,0,NA,111,0.63,0.63,NA,-0.04,110.41,-0.591,19.01,19.01,NA,-1.1,93.1,-17.9,0.8,0.00918,0.00918,0.306,0.306,-20,-20,-730,-730,60,2.01
118196,St Saviour's Catholic Primary,Primary,0,E01017361,Isle of Wight 012F,E06000046,Isle of Wight,125,0,17,103,0.78,0.78,16.89,-0.11,102.35,-0.653,26.93,26.93,13.27,-3.73,80.64,-22.36,1.02,0.0104,0.0104,0.356,0.356,-23,-23,-858,-858,93.55,3.64
118198,Holy Cross Catholic Primary School,Primary,0,E01017307,Isle of Wight 003A,E06000046,Isle of Wight,173,0,56,108,0.97,0.97,55.68,-0.32,107.39,-0.613,33.63,33.63,44.86,-11.14,86.88,-21.12,1.82,0.00825,0.00825,0.281,0.281,-23,-23,-893,-893,92.44,3.87
118203,Nodehill Middle,Middle Deemed Secondary,1,E01017327,Isle of Wight 011F,E06000046,Isle of Wight,485,12,253,108,22.25,10.25,245.73,-7.27,105.76,-2.24,250.03,238.03,106.81,-146.19,52.54,-55.46,2.9,0.0526,0.0255,1.65,1.63,-656,-278,-10354,-9976,72.59,2.19
118208,Somerton Middle,Middle Deemed Secondary,1,E01017302,Isle of Wight 002B,E06000046,Isle of Wight,167,NA,114,40,NA,4.34,111.33,-2.67,38.81,-1.19,NA,88.7,57.29,-56.71,16.22,-23.78,2.77,0.0388,0.0295,0.67,0.661,-149,-117,-2793,-2761,96.39,2.33
118212,Solent Middle School,Middle Deemed Secondary,1,E01017301,Isle of Wight 002A,E06000046,Isle of Wight,302,0,235,51,10.22,10.22,226.7,-8.3,49.23,-1.77,200.82,200.82,71.46,-163.54,17.11,-33.89,5.05,-0.00103,-0.00103,0.0117,0.0117,-188,-188,-3967,-3967,89.19,2.27
118215,Sandown High School,Secondary,1,E01017317,Isle of Wight 015A,E06000046,Isle of Wight,1575,33,823,153,61.84,28.84,803.36,-19.64,149.64,-3.36,822.45,789.45,345.18,-477.82,56.45,-96.55,4.8,0.0871,0.0301,1.47,1.42,-1163,-503,-16865,-16205,72.4,2.81
118218,Bishop Lovett C.E. Middle,Middle Deemed Secondary,1,E01017346,Isle of Wight 004D,E06000046,Isle of Wight,298,7,190,69,10.54,3.54,187.9,-2.1,68.08,-0.916,121.58,114.58,125.82,-64.18,36.8,-32.2,2.41,0.0644,0.0251,1.04,1,-383,-109,-4897,-4623,94.3,4.16
135552,Christ The King College,Secondary,1,E01017293,Isle of Wight 011B,E06000046,Isle of Wight,911,0,234,83,7.26,7.26,229.56,-4.44,81.38,-1.62,237.05,237.05,120.68,-113.32,41.86,-41.14,2.28,0.0171,0.0171,1.59,1.59,-202,-202,-6554,-6554,40.93,2.69
