geo_code,geo_name,lad11cd,lad_name,all,bicycle,foot,car,govtarget_slc,govtarget_sic,govtarget_slw,govtarget_siw,govtarget_sld,govtarget_sid,dutch_slc,dutch_sic,dutch_slw,dutch_siw,dutch_sld,dutch_sid,baseline_at_mmet,govtarget_slmmet,govtarget_simmet,dutch_slmmet,dutch_simmet,govtarget_slco2,govtarget_sico2,dutch_slco2,dutch_sico2,perc_rf_dist_u5km,avslope_perc_u5km
E01017326,Isle of Wight 009C,E06000046,Isle of Wight,175,4,128,20,7.66,3.66,125.16,-2.84,19.78,-0.219,82.69,78.69,68.28,-59.72,13.73,-6.27,3.27,-0.00343,0.00499,0.232,0.241,-24,-8,-308,-292,93.71,2.12
E01017327,Isle of Wight 011F,E06000046,Isle of Wight,262,NA,188,49,NA,5.1,184.15,-3.85,48.29,-0.706,NA,117.94,100.08,-87.92,31.48,-17.52,3.57,0.0198,0.00494,0.271,0.256,-48,-48,-1471,-1471,93.05,2.79
E01017349,Isle of Wight 014D,E06000046,Isle of Wight,306,NA,226,53,NA,5.86,220.97,-5.03,52.34,-0.657,NA,139.37,108.36,-117.64,35.27,-17.73,2.86,0.00293,-0.00307,-0.00945,-0.0155,-59,-45,-1296,-1282,93.62,2.63
E01017348,Isle of Wight 014C,E06000046,Isle of Wight,231,5,177,30,9.49,4.49,173.08,-3.92,29.58,-0.425,106.91,101.91,90.03,-86.97,18.99,-11.01,2.94,-0.0102,-8.69e-4,0.0921,0.101,-46,-39,-1234,-1227,91.48,2.33
E01017369,Isle of Wight 017D,E06000046,Isle of Wight,180,NA,55,24,NA,0.54,54.6,-0.4,23.95,-0.0537,NA,30.05,41.48,-13.52,20.23,-3.77,2.37,0.0927,0.0073,1.52,1.44,-4,-4,-1030,-1030,33.52,1.61
E01017300,Isle of Wight 001A,E06000046,Isle of Wight,174,NA,107,44,NA,1.81,105.51,-1.49,43.73,-0.273,NA,54.11,67.84,-39.16,34.67,-9.33,3.19,-0.00207,-4.35e-4,0.562,0.563,-13,-13,-747,-747,87.72,3.91
E01017303,Isle of Wight 001B,E06000046,Isle of Wight,167,NA,99,48,NA,1.75,97.74,-1.26,47.62,-0.384,NA,53.79,63.81,-35.19,36.91,-11.09,2.52,0.0436,0.00501,0.701,0.662,-145,-24,-823,-702,91.02,4.43
E01017301,Isle of Wight 002A,E06000046,Isle of Wight,132,NA,99,24,NA,2.49,96.94,-2.06,23.6,-0.397,NA,56.62,54.26,-44.74,14.72,-9.28,2.27,0.0123,0.00114,0.351,0.34,-47,-18,-631,-602,94.7,1.24
E01017355,Isle of Wight 015E,E06000046,Isle of Wight,188,NA,59,64,NA,2.27,58.29,-0.71,63.26,-0.736,NA,80.39,33.45,-25.55,40.04,-23.96,3.24,0.0883,0.0578,2.15,2.12,-145,-107,-3772,-3734,84.75,3.48
E01017283,Isle of Wight 006B,E06000046,Isle of Wight,174,0,73,43,2.23,2.23,71.66,-1.34,42.74,-0.257,55.2,55.2,39.32,-33.68,35.9,-7.1,2.14,0.0117,0.0117,0.317,0.317,-13,-13,-440,-440,65.9,2.56
E01033239,Isle of Wight 012H,E06000046,Isle of Wight,207,NA,38,61,NA,0.77,37.68,-0.32,60.63,-0.375,NA,24.01,27.84,-10.16,49.34,-11.66,1.2,0.0423,0.00375,0.147,0.109,-171,-13,-598,-440,84.11,2.87
E01017311,Isle of Wight 008B,E06000046,Isle of Wight,197,0,146,43,2.95,2.95,143.66,-2.34,42.6,-0.397,81.52,81.52,81.91,-64.09,30.96,-12.04,3.22,0.00171,0.00171,0.0549,0.0549,-22,-22,-772,-772,97.42,3.03
E01017331,Isle of Wight 008C,E06000046,Isle of Wight,205,NA,161,28,NA,3.05,158.71,-2.29,27.69,-0.307,NA,76.46,102.19,-58.81,19.71,-8.29,2.11,0.00601,0.00703,0.152,0.153,-23,-16,-499,-492,97.56,1.68
E01017339,Isle of Wight 007A,E06000046,Isle of Wight,277,NA,185,44,NA,3.11,182.4,-2.6,43.66,-0.341,NA,86.78,113.74,-71.26,33.11,-10.89,2.67,-0.00222,-2.23e-4,0.0146,0.0166,-20,-14,-610,-604,84.42,3.21
E01017338,Isle of Wight 006C,E06000046,Isle of Wight,113,0,61,24,1.12,1.12,60.1,-0.9,23.87,-0.13,33.29,33.29,36.29,-24.71,19.18,-4.82,2.32,0.00288,0.00288,0.393,0.393,-7,-7,-394,-394,74.34,2.74
E01017328,Isle of Wight 009D,E06000046,Isle of Wight,205,4,175,15,8.08,4.08,171.4,-3.6,14.85,-0.153,95.95,91.95,95,-80,10.56,-4.44,2.43,-0.00475,-8.08e-4,0.0999,0.104,-4,-4,-315,-315,96.59,1.54
E01017356,Isle of Wight 016C,E06000046,Isle of Wight,195,6,88,54,9.41,3.41,86.59,-1.41,52.98,-1.02,92.9,86.9,53.34,-34.66,30,-24,2.71,0.0839,0.0498,1.4,1.37,-193,-114,-2959,-2880,90.72,3.37
E01017308,Isle of Wight 003B,E06000046,Isle of Wight,279,NA,117,75,NA,2.78,115.36,-1.64,74.5,-0.504,NA,108.62,68.02,-48.98,56.36,-18.64,3.28,0.0428,0.0247,2.24,2.22,-45,-29,-1928,-1912,70.14,3.35
E01017309,Isle of Wight 001E,E06000046,Isle of Wight,255,0,132,56,2.89,2.89,129.81,-2.19,55.7,-0.301,97.75,97.75,71.59,-60.41,44.1,-11.9,4.25,0.0094,0.0094,1.43,1.43,-22,-22,-1592,-1592,71.49,3.36
E01017351,Isle of Wight 010D,E06000046,Isle of Wight,141,NA,40,46,NA,1.01,39.7,-0.3,45.62,-0.383,NA,37.61,28.31,-11.69,34.56,-11.44,3.61,0.0978,0.0364,1.65,1.59,-63,-51,-1692,-1680,48.48,3.44
E01017287,Isle of Wight 005B,E06000046,Isle of Wight,167,4,95,28,5.25,1.25,94.13,-0.87,27.84,-0.158,38.63,34.63,73.31,-21.69,23.5,-4.5,2.2,0.0599,0.00602,0.617,0.563,-222,-15,-725,-518,75.45,6.1
E01017284,Isle of Wight 010A,E06000046,Isle of Wight,175,15,90,30,16.77,1.77,88.49,-1.51,29.8,-0.201,48.82,33.82,64.13,-25.87,25.18,-4.82,3.11,-0.00902,6.34e-4,0.335,0.345,-42,-6,-488,-452,67.26,1.36
E01017319,Isle of Wight 016B,E06000046,Isle of Wight,109,NA,70,31,NA,1.94,68.59,-1.41,30.59,-0.409,NA,48.7,34.88,-35.12,20.28,-10.72,2.93,0.00583,0.00357,0.0951,0.0929,-47,-21,-633,-607,92.66,3.06
E01017294,Isle of Wight 013C,E06000046,Isle of Wight,214,4,139,52,6.97,2.97,136.77,-2.23,51.5,-0.501,82.11,78.11,81.55,-57.45,37.99,-14.01,2.63,0.0108,0.00582,0.236,0.231,-94,-38,-1216,-1160,90.95,3.5
E01017295,Isle of Wight 009A,E06000046,Isle of Wight,236,5,128,82,10.14,5.14,125.07,-2.93,80.28,-1.72,119.08,114.08,62.58,-65.42,44.76,-37.24,3.04,0.0696,0.0415,0.957,0.929,-365,-203,-4522,-4360,96.15,2.1
E01017296,Isle of Wight 011C,E06000046,Isle of Wight,128,0,21,35,0.44,0.44,20.9,-0.1,34.87,-0.127,42.71,42.71,14.26,-6.74,26.47,-8.53,3.72,0.0314,0.0314,4.13,4.13,-18,-18,-2257,-2257,20.31,3.6
E01017293,Isle of Wight 011B,E06000046,Isle of Wight,365,6,273,63,10.4,4.4,269.73,-3.27,62.25,-0.748,112.89,106.89,196.47,-76.53,42.82,-20.18,1.9,0.00822,0.00733,0.31,0.309,-69,-51,-1961,-1943,95.89,2.12
E01017365,Isle of Wight 018C,E06000046,Isle of Wight,96,NA,9,32,NA,0.05,9,0,31.99,-0.0135,NA,3.37,8.82,-0.18,31.11,-0.89,1.29,0.0302,0.00223,0.182,0.154,-49,-1,-143,-95,54.1,10.6
E01017364,Isle of Wight 018B,E06000046,Isle of Wight,157,0,53,27,0.01,0.01,53,0,26.99,-0.0052,1.25,1.25,52.87,-0.13,26.53,-0.47,2.12,4.15e-4,4.15e-4,0.0538,0.0538,0,0,-61,-61,73.64,21.6
E01017362,Isle of Wight 012G,E06000046,Isle of Wight,203,0,61,55,1.63,1.63,59.89,-1.11,54.69,-0.31,40.69,40.69,34.37,-26.63,45.39,-9.61,1.7,0.00312,0.00312,0.0945,0.0945,-12,-12,-405,-405,88.14,2.92
E01017285,Isle of Wight 010B,E06000046,Isle of Wight,168,12,83,27,13.07,1.07,82.18,-0.82,26.8,-0.196,37.58,25.58,65.65,-17.35,23.08,-3.92,2.46,-0.0319,0.00237,0.394,0.428,-28,-3,-179,-154,68.29,0.606
E01017352,Isle of Wight 010E,E06000046,Isle of Wight,91,0,20,18,0.5,0.5,19.86,-0.14,17.82,-0.176,26.2,26.2,15.11,-4.89,10.61,-7.39,1.97,0.0317,0.0317,2.3,2.3,-18,-18,-1053,-1053,46.58,2.83
E01033229,Isle of Wight 003D,E06000046,Isle of Wight,194,0,75,65,1.59,1.59,74.4,-0.6,64.63,-0.368,72.2,72.2,51.32,-23.68,47.23,-17.77,2.62,0.0418,0.0418,2.47,2.47,-41,-41,-3291,-3291,79.89,3.13
E01017361,Isle of Wight 012F,E06000046,Isle of Wight,115,0,27,36,0.58,0.58,26.68,-0.32,35.83,-0.166,17.51,17.51,17.63,-9.37,30.43,-5.57,1.33,0.00439,0.00439,0.136,0.136,-6,-6,-253,-253,87.88,3.07
E01017359,Isle of Wight 016E,E06000046,Isle of Wight,127,0,40,32,1.16,1.16,39.76,-0.24,31.69,-0.306,44.55,44.55,30.2,-9.8,21.6,-10.4,2.1,0.0534,0.0534,2.13,2.13,-43,-43,-1643,-1643,78.63,4.84
E01017286,Isle of Wight 005A,E06000046,Isle of Wight,111,0,26,43,0.47,0.47,25.81,-0.19,42.89,-0.108,27.32,27.32,18.45,-7.55,35.76,-7.24,2.89,0.0182,0.0182,2.02,2.02,-10,-10,-1697,-1697,50,4.6
